x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
7->12,7->6->5->11->12,7->6->5->4->11->12,7->6->5->3->12,7->6->5->3->1->2->12,7->6->5->8->30->17->12,7->6->5->8->30->17->15->12,7->6->5->8->30->17->19->15->12,7->6->5->8->30->38->37->33->15->12,7->6->5->8->30->38->37->34->19->15->12,7->6->5->8->30->38->37->34->19->17->12,7->6->5->8->30->38->37->35->36->34->19->15->12,7->6->5->8->30->38->37->35->36->34->19->17->12,7->6->5->8->30->38->37->35->36->34->19->17->15->12,7->6->5->8->30->26->25->23->32->113->17->12,7->6->5->8->30->26->25->23->32->31->17->12,7->6->5->8->30->26->25->23->32->31->17->15->12,7->6->5->8->30->26->25->23->32->31->17->19->15->12,7->6->5->8->30->26->25->27->32->113->17->12,7->6->5->8->30->26->25->27->32->31->17->12,7->6->5->8->30->26->25->27->28->31->17->12,7->6->5->8->30->26->25->27->115->114->32->113->17->12,7->6->5->8->30->26->25->27->115->114->32->31->17->12,7->6->5->8->30->26->25->27->115->114->32->31->17->15->12,7->6->5->8->30->26->25->27->115->114->32->31->17->19->15->12,7->6->5->8->30->26->25->27->115->114->32->31->17->19->15->13->11->12,7->6->5->8->30->26->25->27->115->114->32->23->22->21->20->19->15->12,7->6->5->8->30->26->25->27->115->114->32->23->22->21->20->19->17->12,7->6->5->8->30->26->25->27->115->114->32->23->22->21->20->19->17->15->12,7->6->5->8->30->26->25->27->115->114->32->23->22->21->20->19->17->15->13->11->12
8->9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8->5,8->30->17->12->11->5,8->30->17->12->11->4->5,8->30->17->12->7->6->5,8->30->17->15->12->11->5,8->30->17->19->15->12->11->5,8->30->17->19->15->12->11->4->5,8->30->17->19->15->12->7->6->5,8->30->17->19->15->12->3->5,8->30->17->19->15->12->2->1->3->5,8->30->38->37->33->15->12->11->5,8->30->38->37->33->15->12->11->4->5,8->30->38->37->33->15->12->7->6->5,8->30->38->37->34->19->15->12->11->5,8->30->38->37->34->19->15->12->11->4->5,8->30->38->37->34->19->15->12->7->6->5,8->30->38->37->34->19->17->12->11->5,8->30->38->37->34->19->17->12->11->4->5,8->30->38->37->34->19->17->12->7->6->5,8->30->38->37->35->36->34->19->15->12->11->5,8->30->38->37->35->36->34->19->15->12->11->4->5,8->30->38->37->35->36->34->19->15->12->7->6->5,8->30->38->37->35->36->34->19->17->12->11->5,8->30->38->37->35->36->34->19->17->12->11->4->5,8->30->38->37->35->36->34->19->17->12->7->6->5,8->30->38->37->35->36->34->19->17->15->12->11->5,8->30->38->37->35->36->34->19->17->15->12->11->4->5,8->30->38->37->35->36->34->19->17->15->12->7->6->5,8->30->38->37->35->36->34->19->15->12->3->5,8->30->38->37->35->36->34->19->15->17->12->11->5
8->30,8->5->11->12->17->30,8->5->4->11->12->17->30,8->5->6->7->12->17->30,8->5->6->7->12->15->17->30,8->5->6->7->12->15->19->17->30,8->5->3->12->17->30,8->5->3->1->2->12->17->30,8->5->3->1->2->12->15->17->30,8->5->3->1->2->12->15->19->17->30,8->5->3->1->2->12->15->33->37->38->30,8->5->3->1->2->12->11->13->15->17->30,8->5->3->1->2->12->11->13->15->19->17->30,8->5->3->1->2->12->11->13->15->33->37->38->30,8->5->3->1->2->12->11->13->15->33->37->34->19->17->30,8->5->3->1->2->12->11->13->15->33->37->35->36->34->19->17->30,8->5->3->1->2->12->11->13->15->33->37->39->40->42->49->66->65->38->30,8->5->3->1->2->12->11->13->15->33->37->39->40->41->42->49->66->65->38->30,8->5->3->1->2->12->11->13->15->33->37->40->42->49->66->65->38->30,8->5->3->1->2->12->11->13->15->33->37->40->41->42->49->66->65->38->30,8->5->3->1->2->12->11->13->15->33->37->40->41->42->49->69->68->65->38->30,8->5->3->1->2->12->11->13->15->33->37->40->41->42->49->47->69->68->65->38->30,8->5->3->1->2->12->11->13->15->33->37->40->41->42->49->47->69->77->80->81->68->65->38->30,8->5->3->1->2->12->11->13->15->33->37->40->41->42->49->47->69->77->78->79->80->81->68->65->38->30,8->5->3->1->2->12->11->13->15->33->37->40->41->42->49->54->59->63->64->65->38->30,8->5->3->1->2->12->11->13->15->33->37->40->41->42->49->54->56->55->59->63->64->65->38->30,8->5->3->1->2->12->11->13->15->33->37->40->41->42->49->51->58->56->55->59->63->64->65->38->30,8->5->3->1->2->12->11->13->15->33->37->40->41->42->49->50->57->56->55->59->63->64->65->38->30,8->5->3->1->2->12->11->13->15->33->37->40->41->42->49->50->57->56->54->59->63->64->65->38->30,8->5->3->1->2->12->11->13->15->33->37->40->41->42->49->48->46->47->69->68->65->38->30
9->10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
11->12,11->5->6->7->12,11->4->5->6->7->12,11->4->5->3->12,11->13->15->12,11->13->15->17->12,11->13->15->19->17->12,11->13->15->19->17->30->8->5->6->7->12,11->13->15->19->17->30->8->5->3->12,11->13->15->33->37->38->30->17->12,11->13->15->33->37->34->19->17->12,11->13->15->33->37->35->36->34->19->17->12,11->13->15->33->37->35->36->34->19->17->30->8->5->6->7->12,11->13->15->33->37->35->36->34->19->17->30->8->5->3->12,11->13->15->33->37->35->36->34->19->17->30->8->5->3->1->2->12,11->13->15->33->37->35->36->34->19->20->21->22->23->32->113->17->12,11->13->15->33->37->35->36->34->19->20->21->22->23->32->31->17->12,11->13->15->33->37->39->40->42->49->66->65->38->30->17->12,11->13->15->33->37->39->40->41->42->49->66->65->38->30->17->12,11->13->15->33->37->40->42->49->66->65->38->30->17->12,11->13->15->33->37->40->41->42->49->66->65->38->30->17->12,11->13->15->33->37->40->41->42->49->66->65->38->30->8->5->6->7->12,11->13->15->33->37->40->41->42->49->69->68->65->38->30->17->12,11->13->15->33->37->40->41->42->49->47->69->68->65->38->30->17->12,11->13->15->33->37->40->41->42->49->47->69->68->65->38->30->8->5->6->7->12,11->13->15->33->37->40->41->42->49->47->69->77->80->81->68->65->38->30->17->12,11->13->15->33->37->40->41->42->49->45->44->43->34->19->17->12,11->13->15->33->37->40->41->42->49->54->59->63->64->65->38->30->17->12,11->13->15->33->37->40->41->42->49->54->56->55->59->63->64->65->38->30->17->12,11->13->15->33->37->40->41->42->49->51->58->56->55->59->63->64->65->38->30->17->12
11->13,11->12->15->13,11->12->17->15->13,11->12->17->19->15->13,11->5->6->7->12->15->13,11->4->5->6->7->12->15->13,11->4->5->6->7->12->17->15->13,11->4->5->6->7->12->17->19->15->13,11->4->5->3->12->15->13,11->4->5->8->30->17->15->13,11->4->5->8->30->17->19->15->13,11->4->5->8->30->17->12->15->13,11->4->5->8->30->38->37->33->15->13,11->4->5->8->30->38->37->34->19->15->13,11->4->5->8->30->38->37->35->36->34->19->15->13,11->4->5->8->30->38->37->35->36->34->19->17->15->13,11->4->5->8->30->38->37->35->36->34->19->17->12->15->13,11->4->5->8->30->26->25->23->32->113->17->15->13,11->4->5->8->30->26->25->23->32->113->17->19->15->13,11->4->5->8->30->26->25->23->32->31->17->15->13,11->4->5->8->30->26->25->23->32->31->17->19->15->13,11->4->5->8->30->26->25->23->22->21->20->19->15->13,11->4->5->8->30->26->25->27->32->113->17->15->13,11->4->5->8->30->26->25->27->32->113->17->19->15->13,11->4->5->8->30->26->25->27->32->31->17->15->13,11->4->5->8->30->26->25->27->32->31->17->19->15->13,11->4->5->8->30->26->25->27->28->31->17->15->13,11->4->5->8->30->26->25->27->28->31->17->19->15->13,11->4->5->8->30->26->25->27->115->114->32->113->17->15->13,11->4->5->8->30->26->25->27->115->114->32->113->17->19->15->13
12->15,12->17->15,12->17->19->15,12->11->13->15,12->11->5->8->30->17->15,12->11->5->8->30->17->19->15,12->11->4->5->8->30->17->15,12->11->4->5->8->30->17->19->15,12->7->6->5->8->30->17->15,12->7->6->5->8->30->17->19->15,12->7->6->5->11->13->15,12->7->6->5->4->11->13->15,12->3->5->8->30->17->15,12->3->5->8->30->17->19->15,12->3->5->11->13->15,12->3->5->4->11->13->15,12->2->1->3->5->8->30->17->15,12->2->1->3->5->8->30->17->19->15,12->2->1->3->5->11->13->15,12->2->1->3->5->4->11->13->15,None,None,None,None,None,None,None,None,None,None
12->17,12->15->17,12->15->19->17,12->11->5->8->30->17,12->11->4->5->8->30->17,12->7->6->5->8->30->17,12->3->5->8->30->17,12->2->1->3->5->8->30->17,12->2->1->3->5->11->13->15->17,12->2->1->3->5->11->13->15->19->17,12->2->1->3->5->4->11->13->15->17,12->2->1->3->5->4->11->13->15->19->17,12->2->1->3->5->4->11->13->15->33->37->38->30->17,12->2->1->3->5->4->11->13->15->33->37->34->19->17,12->2->1->3->5->4->11->13->15->33->37->35->36->34->19->17,12->2->1->3->5->4->11->13->15->33->37->35->36->34->19->20->21->22->23->32->113->17,12->2->1->3->5->4->11->13->15->33->37->35->36->34->19->20->21->22->23->32->31->17,12->2->1->3->5->4->11->13->15->33->37->39->40->42->49->66->65->38->30->17,12->2->1->3->5->4->11->13->15->33->37->39->40->41->42->49->66->65->38->30->17,12->2->1->3->5->4->11->13->15->33->37->40->42->49->66->65->38->30->17,12->2->1->3->5->4->11->13->15->33->37->40->41->42->49->66->65->38->30->17,12->2->1->3->5->4->11->13->15->33->37->40->41->42->49->69->68->65->38->30->17,12->2->1->3->5->4->11->13->15->33->37->40->41->42->49->47->69->68->65->38->30->17,12->2->1->3->5->4->11->13->15->33->37->40->41->42->49->47->69->77->80->81->68->65->38->30->17,12->2->1->3->5->4->11->13->15->33->37->40->41->42->49->45->44->43->34->19->17,12->2->1->3->5->4->11->13->15->33->37->40->41->42->49->54->59->63->64->65->38->30->17,12->2->1->3->5->4->11->13->15->33->37->40->41->42->49->54->56->55->59->63->64->65->38->30->17,12->2->1->3->5->4->11->13->15->33->37->40->41->42->49->51->58->56->55->59->63->64->65->38->30->17,12->2->1->3->5->4->11->13->15->33->37->40->41->42->49->50->57->56->55->59->63->64->65->38->30->17,12->2->1->3->5->4->11->13->15->33->37->40->41->42->49->50->57->56->54->59->63->64->65->38->30->17
12->117,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13->11->12->15,13->15,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
14->15,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
15->17,15->19->17,15->12->17,15->13->11->12->17,15->33->37->38->30->17,15->33->37->34->19->17,15->33->37->35->36->34->19->17,15->33->37->35->36->34->19->20->21->22->23->32->113->17,15->33->37->35->36->34->19->20->21->22->23->32->31->17,15->33->37->39->40->42->49->66->65->38->30->17,15->33->37->39->40->41->42->49->66->65->38->30->17,15->33->37->40->42->49->66->65->38->30->17,15->33->37->40->41->42->49->66->65->38->30->17,15->33->37->40->41->42->49->69->68->65->38->30->17,15->33->37->40->41->42->49->47->69->68->65->38->30->17,15->33->37->40->41->42->49->47->69->77->80->81->68->65->38->30->17,15->33->37->40->41->42->49->45->44->43->34->19->17,15->33->37->40->41->42->49->54->59->63->64->65->38->30->17,15->33->37->40->41->42->49->54->56->55->59->63->64->65->38->30->17,15->33->37->40->41->42->49->51->58->56->55->59->63->64->65->38->30->17,15->33->37->40->41->42->49->50->57->56->55->59->63->64->65->38->30->17,15->33->37->40->41->42->49->50->57->56->54->59->63->64->65->38->30->17,15->33->37->40->41->42->49->48->46->47->69->68->65->38->30->17,15->33->37->40->41->42->49->48->46->45->44->43->34->19->17,15->33->37->40->41->42->49->48->46->45->44->43->34->19->20->21->22->23->32->113->17,15->33->37->40->41->42->49->48->46->45->44->43->34->19->20->21->22->23->32->31->17,15->33->37->40->41->42->49->48->46->45->44->43->34->19->20->21->22->23->32->27->28->31->17,15->33->37->40->41->42->49->48->46->45->44->43->34->19->20->21->22->23->25->26->30->17,15->33->37->40->41->42->49->48->46->45->44->43->34->19->20->21->22->23->25->26->30->8->5->11->12->17,15->33->37->40->41->42->49->48->46->45->44->43->34->19->20->21->22->23->25->27->32->113->17
15->19,15->17->19,15->12->17->19,15->13->11->12->17->19,15->33->37->34->19,15->33->37->38->30->17->19,15->33->37->35->36->34->19,15->33->37->39->40->42->49->66->65->38->30->17->19,15->33->37->39->40->41->42->49->66->65->38->30->17->19,15->33->37->40->42->49->66->65->38->30->17->19,15->33->37->40->41->42->49->66->65->38->30->17->19,15->33->37->40->41->42->49->69->68->65->38->30->17->19,15->33->37->40->41->42->49->47->69->68->65->38->30->17->19,15->33->37->40->42->49->45->44->43->34->19,15->33->37->40->42->49->69->68->65->38->30->17->19,15->33->37->40->42->49->47->69->68->65->38->30->17->19,15->33->37->40->42->49->47->69->77->80->81->68->65->38->30->17->19,15->33->37->40->42->49->47->69->77->78->79->80->81->68->65->38->30->17->19,15->33->37->40->42->49->47->46->45->44->43->34->19,15->33->37->40->42->49->54->59->63->64->65->38->30->17->19,15->33->37->40->42->49->54->56->55->59->63->64->65->38->30->17->19,15->33->37->40->42->49->48->46->45->44->43->34->19,15->33->37->40->42->49->51->58->56->55->59->63->64->65->38->30->17->19,15->33->37->40->42->49->50->57->56->55->59->63->64->65->38->30->17->19,15->33->37->40->42->49->50->57->56->54->59->63->64->65->38->30->17->19,15->33->37->40->42->49->50->57->56->59->63->64->65->38->30->17->19,15->33->37->40->42->49->50->57->56->59->61->64->65->38->30->17->19,15->33->37->40->42->49->50->57->56->59->60->61->64->65->38->30->17->19,15->33->37->40->42->49->50->57->56->59->60->62->61->64->65->38->30->17->19,15->33->37->40->42->49->50->57->56->59->60->62->66->65->38->30->17->19
